accum_earnings	at	capital	emp	iso	n_firms	n_groups	pi	revenue_related	revenue_total	revenue_unrelated	source	t_at	txc	txt	type	wages	year	etr	pi_original
				RUS			4593196524.0				CFC			984869319.0	positive_groups		2012	0.2144191553428947	4593196524.0
				CHE			37616546031.0				CFC			3681263521.0	positive_groups		2012	0.0978628797541978	37616546031.0
				IND			8561013365.0				CFC			2202537061.0	positive_groups		2012	0.2572752742104848	8561013365.0
				ISR			4131474920.0				CFC			316265870.0	positive_groups		2012	0.0765503545644178	4131474920.0
				TUR			1688099801.0				CFC			332462052.0	positive_groups		2012	0.1969445478300841	1688099801.0
				CHN			18358062225.0				CFC			3950099944.0	positive_groups		2012	0.2151697655006722	18358062225.0
				HKG			6920464359.0				CFC			1035832028.0	positive_groups		2012	0.1496766653603106	6920464359.0
				JPN			17877675889.0				CFC			5713998812.0	positive_groups		2012	0.3196164225975134	17877675889.0
				KOR			8369318901.0				CFC			1800682283.0	positive_groups		2012	0.215152786540951	8369318901.0
				MYS			3502463646.0				CFC			449149716.0	positive_groups		2012	0.1282382235467177	3502463646.0
				PHL			2214816281.0				CFC			416236224.0	positive_groups		2012	0.1879326188680839	2214816281.0
				SGP			17734238241.0				CFC			1336404060.0	positive_groups		2012	0.0753572858241157	17734238241.0
				THA			2373336487.0				CFC			567437979.0	positive_groups		2012	0.239088718396297	2373336487.0
				AUS			19484469794.0				CFC			4123865527.0	positive_groups		2012	0.2116488449826791	19484469794.0
				PRI			9065802827.0				CFC			251245225.0	positive_groups		2012	0.0277135108488941	9065802827.0
